FECHA	TMAX	TMIN	NOMBRE
--------	-----	-----	----------------------------------------
29/10/2023	23.0	17.9	AEROPARQUE AERO
29/10/2023	22.9	14.2	AZUL AERO
29/10/2023	22.1	8.1	BAHIA BLANCA AERO
29/10/2023	3.5	-0.3	BARILOCHE AERO
29/10/2023	-4.7	-11.6	BASE BELGRANO II
29/10/2023	-6.2	-9.4	BASE CARLINI (EX JUBANY)
29/10/2023	-7.3	-13.7	BASE ESPERANZA
29/10/2023	-9.5	-19.7	BASE MARAMBIO
29/10/2023	-3.8	-8.2	BASE ORCADAS
29/10/2023	-2.4	-12.8	BASE SAN MARTIN
29/10/2023	21.0	13.0	BENITO JUAREZ AERO
29/10/2023	26.8	16.6	BERNARDO DE IRIGOYEN AERO
29/10/2023	23.1	14.0	BOLIVAR AERO
29/10/2023	24.0	18.0	BUENOS AIRES OBSERVATORIO
29/10/2023	24.3	17.6	CAMPO DE MAYO AERO
29/10/2023	41.0	16.4	CATAMARCA AERO
29/10/2023	37.8	20.0	CERES AERO
29/10/2023	40.3	22.0	CHAMICAL AERO
29/10/2023	4.3	-0.2	CHAPELCO AERO
29/10/2023	38.0	16.5	CHEPES
29/10/2023	38.0	15.6	CHILECITO AERO
29/10/2023	19.4	8.7	CIPOLLETTI
29/10/2023	16.4	4.4	COMODORO RIVADAVIA AERO
29/10/2023	30.5	20.0	CONCORDIA AERO
29/10/2023	38.0	20.3	CORDOBA AERO
29/10/2023	38.8	21.3	CORDOBA OBSERVATORIO
29/10/2023	20.9	10.4	CORONEL SUAREZ AERO
29/10/2023	31.5	17.7	CORRIENTES AERO
29/10/2023		12.9	DOLORES AERO
29/10/2023	7.2	2.2	EL BOLSON AERO
29/10/2023	10.4	0.0	EL CALAFATE AERO
29/10/2023	24.0	17.5	EL PALOMAR AERO
29/10/2023		21.0	ESCUELA DE AVIACION MILITAR AERO
29/10/2023	5.3	-1.4	ESQUEL AERO
29/10/2023	25.0	15.1	EZEIZA AERO
