pais_id,pais,mercado,año,mes,producto,variedad,origen,precio_usd_kg,moneda_cod,moneda
221,Paraguay,Mercado Central de Asunción,2017,Enero,Aguacate,s/especificar,Paraguay,0.3,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Banana,Carape,Paraguay,0.41,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Ciruela,s/especificar,Argentina,2.73,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Durazno,s/especificar,Paraguay,1.21,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Frutilla,s/especificar,Paraguay,,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Kiwi,s/especificar,Brasil,2.33,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Limon,Taiti,Paraguay,0.37,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Mamon,Comun,Paraguay,0.66,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Mandarina,s/especificar,Paraguay,,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Melon,Comun,Paraguay,0.63,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Manzana ,Roja,Argentina,1.57,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Manzana ,Verde,Argentina,1.39,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Mango,Injertado,Paraguay,0.36,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Naranja,Comun,Paraguay,0.36,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Pera,s/especificar,Paraguay,1.15,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Piña,Abacaxi,Argentina,0.44,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Pomelo,s/especificar,Paraguay,0.18,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Sandia,s/especificar,Paraguay,0.76,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Uva,Blanca,Paraguay,0.79,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Uva ,Negra ,Argentina,,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Uva,Rosada,Argentina,0.79,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Aji,s/especificar,Argentina,0,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Ajo ,s/especificar,Argentina,3.21,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Apio ,s/especificar,Paraguay,0.55,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Batata ,Colorada,Paraguay,0.35,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Berenjena ,s/especificar,Paraguay,0.43,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Brocoli ,s/especificar,Paraguay,,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Calabaza,s/especificar,Paraguay,0.19,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Cebolla Colorada,Cabeza Colorada,Argentina,0.5,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Coliflor,s/especificar,Paraguay,0.46,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Lechuga Criolla,Criolla,Paraguay,0.66,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Pimiento Verde,Verde,Paraguay,0.63,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Pimiento Rojo,Rojo,Paraguay,1.12,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Enero,Tomate Lisa,Lisa,Paraguay,0.59,USD,Dolares
