pais_id,pais,mercado,año,mes,producto,variedad,origen,precio_usd_kg,moneda_cod,moneda
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Palta/Aguacate,Hass,Chile,2.09,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Piña,Caramelo,Importado,1.61,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Chirimoya,Cultivar IV Region,Chile,,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Ciruela,Angeleno,Chile,0.33,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Kiwi,Hayward,Chile,,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Banana,s/especificar,Importado,0.42,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Frambuesa,s/especificar,s/especificar,2.28,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Naranja,Olinda Valencia,Chile,0.82,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Limón,s/especificar,Chile,1.42,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Manzana,Granny Smith,Chile,0.41,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Manzana,Red Chief,Chile,0.62,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Frutilla,s/especificar,Chile,,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Nectarín,August Red,s/especificar,0.51,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Pera,Packam's Triumph,Chile,0.34,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Durazno,Florida King,Chile,0.6,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Pomelo,Start Ruby,Chile,0.41,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Uva,Red Globe,Chile,0.94,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Zapallo/Anco,Camote,Chile,0.02,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Apio,Americana (O),Chile,0.74,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Ajo,Chino,Chile,5.19,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Lechuga,Conconina(O),Chile,1.01,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Papa,Cardinal,Chile,0.15,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Berenjena,s/especificar,Chile,0.91,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Remolacha,s/especificar,Chile,0.55,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Cebolla,Morada (O),Chile,0.66,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Zanahoria,s/especificar,Chile,0.5,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Espinaca,s/especificar,Chile,1,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Poroto Verde,s/especificar,Chile,0.67,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Melón,Tuna,Chile,0.5,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Choclo,Dulce O Americano,Chile,0.33,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Sandia,s/especificar,Chile,0.18,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Pepino Ensalada,s/especificar,Chile,0.53,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Ají,Americana (O),Chile,0.48,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Pimiento,Cuatro Cascos Rojos,Chile,0.49,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Tomate,Larga Vida,Chile,0.59,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Enero,Tomate,Semiduro,Chile,0.38,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Palta/Aguacate,Hass,Chile,2.21,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Piña,Caramelo,Importado,1.73,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Chirimoya,Cultivar IV Region,Chile,,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Ciruela,Angeleno,Chile,0.42,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Kiwi,Hayward,Chile,0.41,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Banana,s/especificar,Importado,0.52,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Frambuesa,s/especificar,s/especificar,1.99,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Naranja,Olinda Valencia,Chile,0.91,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Limón,s/especificar,Chile,1.9,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Manzana,Granny Smith,Chile,0.34,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Manzana,Red Chief,Chile,,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Frutilla,s/especificar,Chile,,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Nectarín,August Red,s/especificar,0.58,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Pera,Packam's Triumph,Chile,0.33,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Durazno,Florida King,Chile,,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Pomelo,Start Ruby,Chile,0.43,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Uva,Red Globe,Chile,0.51,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Zapallo/Anco,Camote,Chile,0.02,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Apio,Americana (O),Chile,0.66,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Ajo,Chino,Chile,4.15,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Lechuga,Conconina(O),Chile,1.15,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Papa,Cardinal,Chile,0.22,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Berenjena,s/especificar,Chile,0.59,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Remolacha,s/especificar,Chile,0.57,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Cebolla,Morada (O),Chile,0.58,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Zanahoria,s/especificar,Chile,0.48,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Espinaca,s/especificar,Chile,1.41,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Poroto Verde,s/especificar,Chile,0.9,USD,Dolares
208,Chile,Mercado Lo Valledor de Santiago,2017,Febrero,Melón,Tuna,Chile,0.67,USD,Dolares
